target,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumQueryComponents,NumAmpersand,NumNumericChars,NoHttps,IpAddress,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,NumConsecutiveRepeats,entropia_dominio,AlphaNumBalance,SuspiciousFileExtension,ParameterKeywords,TLDType,SubdomainLengthVariation,RepeatedPathSegments,ConsonantRatio,AuthInPath,DomainDigits,ObfuscatedStrings,TfIdfScore
0,3,0,1,80,0,0,0,0,3,2,1,0,0,0,20,10,41,0,0,0,0,4.519467821157519,0.95,0,0,0,0,0,0.62,0,0,0,8.211199596820993
0,1,0,2,74,5,0,0,0,0,0,0,0,1,0,18,49,0,0,0,1,0,4.129675205084686,0.9444444444444444,0,0,0,0,0,0.57,0,0,0,9.347423633819382
0,2,1,12,656,11,0,0,0,21,0,0,1,0,0,16,632,0,0,0,0,2,5.228865148770229,0.875,0,0,0,0,0,0.62,0,0,5,9.431642883061636
0,3,1,3,77,3,0,0,0,0,0,0,0,0,0,26,43,0,0,0,0,1,3.9968622757402015,0.8846153846153846,0,0,0,0,0,0.53,0,0,0,8.497459994877381
0,2,1,2,84,11,0,0,0,0,0,0,1,0,0,15,61,0,0,0,0,1,4.334913806403539,0.8666666666666667,0,0,0,0,0,0.71,0,0,0,8.605037350058979
0,2,1,3,410,1,0,0,0,0,1,0,20,0,0,23,20,358,0,0,0,2,4.470531586705693,0.9130434782608696,0,0,0,0,0,0.67,0,0,1,8.901628717617355
0,4,1,3,131,14,0,0,0,0,0,0,1,0,0,24,99,0,0,0,0,1,4.563004462829873,0.875,1,0,0,0,0,0.62,0,0,0,11.354680195084072
0,3,1,1,320,27,0,0,0,6,1,2,1,0,0,25,5,259,0,1,0,1,4.850887855542073,0.92,0,0,0,0,0,0.65,0,0,0,13.643862995681529
0,1,0,1,31,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,3.84888461662912,0.9230769230769232,0,0,0,0,0,0.78,0,0,0,7.137968632101067
0,2,1,2,59,6,0,0,0,0,0,0,0,0,0,15,36,0,0,0,0,1,4.192972126112503,0.8666666666666667,0,0,0,0,0,0.57,0,0,0,8.960765393348986
0,1,0,1,35,0,0,0,0,3,0,0,1,1,0,14,14,0,0,0,0,0,4.307714802597438,0.9285714285714286,0,0,0,0,0,0.6,0,0,0,6.885160725788162
0,2,1,2,52,2,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,1,4.248020729000122,0.9047619047619048,0,0,0,0,0,0.69,0,0,0,7.818967598692361
0,3,1,1,35,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,1,4.093149802473811,0.8571428571428571,0,0,1,0,0,0.64,0,0,0,7.302645421444776
0,2,1,4,98,6,0,0,0,0,0,0,0,0,0,13,77,0,0,1,0,1,4.309834820326303,0.6923076923076923,0,0,0,0,0,0.8,0,1,0,10.85985855419881
0,3,1,1,63,1,0,0,0,12,0,0,0,1,0,14,42,0,0,0,0,1,4.080088757267031,0.8571428571428571,1,0,0,0,0,0.57,0,0,0,8.68431169688428
0,2,0,2,33,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,4.089552452560668,0.5714285714285714,1,0,0,0,0,1.0,0,1,0,6.857808918043446
0,2,1,1,44,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,0,1,4.010012584300539,0.9285714285714286,0,0,0,0,0,0.6,0,0,0,7.90032010115605
0,2,1,1,36,1,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,1,4.231746181697386,0.8461538461538461,0,0,0,0,0,0.6,0,0,0,6.697662372393365
0,1,0,2,36,0,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,4.016875695766564,0.9,0,0,0,0,0,0.83,0,0,0,7.409401282667937
0,2,1,3,92,5,0,0,0,0,0,0,0,0,0,16,68,0,0,0,0,1,4.27265146897178,0.875,0,0,0,0,0,0.62,0,0,0,9.223009706826591
0,4,1,2,41,0,0,0,1,3,0,0,0,1,0,15,19,0,0,0,0,1,4.034023650801244,0.8,1,0,1,0,0,0.75,0,0,0,6.272684499840609
