iter	Logloss
0	0.5836116943
1	0.4931355591
2	0.4218487244
3	0.3744031982
4	0.3409136353
5	0.3077246094
6	0.2892424622
7	0.2723816528
8	0.2591322021
9	0.2471196289
10	0.2380967407
11	0.2325556335
12	0.2263794556
13	0.2214714355
14	0.2164720154
15	0.2105848999
16	0.2047186432
17	0.2020475769
18	0.1982129211
19	0.1948261261
20	0.1924277954
21	0.1897633057
22	0.187664093
23	0.1845408325
24	0.1825954285
25	0.1805629883
26	0.1789687347
27	0.1768076477
28	0.1750071411
29	0.1725485382
30	0.1704897003
31	0.1691550293
32	0.168056366
33	0.1665635071
34	0.1651842957
35	0.1638108978
36	0.1623792572
37	0.1609925842
38	0.160401825
39	0.1591065674
40	0.1575951233
41	0.1564328308
42	0.155661499
43	0.1542198334
44	0.1535459137
45	0.1524420166
46	0.1516960449
47	0.1507819977
48	0.1496567993
49	0.1486829529
50	0.1479881134
51	0.1470378418
52	0.1464425049
53	0.1455552521
54	0.1444410706
55	0.1436054535
56	0.1430018921
57	0.142137146
58	0.1415106812
59	0.14062323
60	0.1400372314
61	0.1393215637
62	0.1386105499
63	0.1381889648
64	0.1374520264
65	0.1368547058
66	0.1364887085
67	0.1357033691
68	0.1346327972
69	0.1338280334
70	0.1332823181
71	0.1329402161
72	0.131890625
73	0.1315675507
74	0.1310210876
75	0.130613678
76	0.1302362061
77	0.1297054749
78	0.1291628723
79	0.1288533936
80	0.1282154388
81	0.1278082504
82	0.1274055328
83	0.1267926178
84	0.1257243958
85	0.1251407013
86	0.1243419113
87	0.1238911896
88	0.1233490677
89	0.1225991516
90	0.1217795105
91	0.1213342285
92	0.1208377838
93	0.1204419861
94	0.1200386047
95	0.1196891327
96	0.1189451599
97	0.1181855164
98	0.1178309326
99	0.1174279633
100	0.1170330429
101	0.1164349518
102	0.1157593307
103	0.1154065781
104	0.1152870789
105	0.1146641769
106	0.1143662033
107	0.1138881989
108	0.1132512207
109	0.1129624481
110	0.1127450943
111	0.1120510483
112	0.1116056213
113	0.1108885422
114	0.1106548462
115	0.1101300354
116	0.1096021118
117	0.1089635162
118	0.1083202591
119	0.1079096298
120	0.1074011841
121	0.1070249634
122	0.1066148834
123	0.1062986984
124	0.1056642456
125	0.1052819977
126	0.104825592
127	0.1045446625
128	0.104537529
129	0.1040538483
130	0.1040445786
131	0.1036595154
132	0.1031740112
133	0.1027250366
134	0.1022548294
135	0.1020403366
136	0.1016113586
137	0.101296463
138	0.1010029449
139	0.1003241501
140	0.09986227417
141	0.09955125427
142	0.09931057739
143	0.09903030396
144	0.09886898804
145	0.09851361084
146	0.09814154053
147	0.09767123413
148	0.09712579346
149	0.09671090698
150	0.09641804504
151	0.09610262299
152	0.09580272675
153	0.09559619141
154	0.09533823395
155	0.09504942322
156	0.09489131927
157	0.0946161499
158	0.09420825958
159	0.09387976074
160	0.09343179321
161	0.09313772583
162	0.09283664703
163	0.0925772934
164	0.09206456757
165	0.09151735687
166	0.09116976929
167	0.09081991577
168	0.0905694046
169	0.09025186157
170	0.09009288025
171	0.08985322571
172	0.08984675598
173	0.08960659027
174	0.08926773834
175	0.08895833588
176	0.08864910126
177	0.08829320526
178	0.08797425079
179	0.08764674377
180	0.08740151978
181	0.08717501831
182	0.08687186432
183	0.08686540222
184	0.08671757507
185	0.08671269989
186	0.08670922852
187	0.08646459198
188	0.08608099365
189	0.08607696533
190	0.08607302856
191	0.08606845093
192	0.08589920044
193	0.08573321533
194	0.08539541626
195	0.0853914566
196	0.08538720703
197	0.08501329803
198	0.08468399048
199	0.08430986023
